website name,facebook ,twitter,instagram,website link
HRPA 2019 Annual Conference and Tradeshow,https://www.facebook.com/TheHRPA/,https://twitter.com/HRPA,https://www.instagram.com/HRPA_Organization/,https://hrpaconference.ca/
OLA Super Conference 2019,https://www.facebook.com/accessola,https://twitter.com/ONLibraryAssoc,None,http://www.olasuperconference.ca/
2019 Children's Spring Festival Gala,None,None,None,None
The MBA Tour – Spring 2019,https://www.facebook.com/TheMBATour/,https://twitter.com/thembatour,https://www.instagram.com/thembatour/,http://www.thembatour.com/
Auto Show 2019 – The PASSION Within Us,https://www.facebook.com/autoshowcanada/,https://twitter.com/autoshowcanada,https://www.instagram.com/cdnintlautoshow/,https://www.autoshow.ca/
Real Capital 2019,None,https://twitter.com/re_forums,None,http://www.realestateforums.com/realcapital/
Waterstone Human Capital 2019,None,None,None,https://waterstonehc.com/cma/ticket-order/
OIAA 2019 Professional Development & Claims Conference,https://www.facebook.com/OntarioInsuranceAdjustersAssociation,https://twitter.com/OIAAOfficial,None,https://www.oiaa.com
Alexander Rosenbaum,https://www.facebook.com/public/Aleksandr-Rosenbaum,None,https://www.instagram.com/rozenbaum.ru/?hl=en,http://rozenbaum.ru/
EMIN and Friends-Cancelled,https://www.facebook.com/emin,https://twitter.com/eminofficial,https://www.instagram.com/eminofficial/,http://emin-music.com/
Cantech Investment Conference 2019,https://www.facebook.com/cambridgehouseconferences,None,None,https://cambridgehouse.com/e/cantech-investment-conference-2019-77
HRPA 2019 Annual Conference and Tradeshow,https://www.facebook.com/TheHRPA/,https://twitter.com/HRPA,https://www.instagram.com/HRPA_Organization/,https://hrpaconference.ca/
OLA Super Conference 2019,https://www.facebook.com/accessola,https://twitter.com/ONLibraryAssoc,None,http://www.olasuperconference.ca/
HRPA 2019 Annual Conference and Tradeshow,https://www.facebook.com/TheHRPA/,https://twitter.com/HRPA,https://www.instagram.com/HRPA_Organization/,https://hrpaconference.ca/
OLA Super Conference 2019,https://www.facebook.com/accessola,https://twitter.com/ONLibraryAssoc,None,http://www.olasuperconference.ca/
2019 Children's Spring Festival Gala,None,None,None,None
The MBA Tour – Spring 2019,https://www.facebook.com/TheMBATour/,https://twitter.com/thembatour,https://www.instagram.com/thembatour/,http://www.thembatour.com/
Auto Show 2019 – The PASSION Within Us,https://www.facebook.com/autoshowcanada/,https://twitter.com/autoshowcanada,https://www.instagram.com/cdnintlautoshow/,https://www.autoshow.ca/
Real Capital 2019,None,https://twitter.com/re_forums,None,http://www.realestateforums.com/realcapital/
Waterstone Human Capital 2019,None,None,None,https://waterstonehc.com/cma/ticket-order/
PDAC 2019: The World's Premier Mineral Exploration & Mining Convention,https://www.facebook.com/events/262433707652807/,https://twitter.com/the_PDAC,https://www.instagram.com/the_pdac/,http://www.pdac.ca/convention
Lift Jesus Higher 2019,https://www.facebook.com/ljhtoronto,http://twitter.com/ljhtoronto,https://www.instagram.com/ljhrtoronto/,https://www.lift-jesus-higher-rally.ca/
Study and Go Abroad Fair,http://Facebook: https://www.facebook.com/studyandgoabroad,https://twitter.com/studygoabroad,https://www.instagram.com/StudyandGoAbroad,http://www.studyandgoabroad.com
Loboda,https://www.facebook.com/kaboompromotion,http://@KABOOM_PROMO  ,https://www.instagram.com/lobodaofficial/?hl=en,https://kaboom.tickit.ca/events/4803-loboda
Dx3 Canada 2019,https://www.facebook.com/dx3canada,https://twitter.com/dx3canada,https://www.instagram.com/dx3canada/,http://www.dx3canada.com/
MPI Toronto Chapter's Awards Gala 2019,http://www.facebook.com/pages/MPI-Toronto/233223609607,http://www.twitter.com/MPIToronto,https://www.instagram.com/mpitoronto/,https://www.mpiweb.org/chapters/toronto/education-events/event/2019/03/07/mpi-global-calendar/mpi-toronto-chapter's-awards-gala
"Youth America Grand Prix, Ballet Competition",https://www.facebook.com/YouthAmericaGrandPrix,https://twitter.com/yagp,https://www.instagram.com/yagp/,http://www.yagp.org
Toronto Comicon 2019,https://www.facebook.com/fanexpocanada,https://twitter.com/FanExpoCanada,https://www.instagram.com/fanexpohq/,http://comicontoronto.com
Toronto VMUG UserCon,https://www.facebook.com/VMwareUserGroup,https://twitter.com/MyVMUG,None,https://www.vmug.com
IEP Conference and Hiring Expo 2019,https://www.iep.ca/,https://twitter.com/IEP_Conference,None,https://www.iep.ca/
Candance Competition #1 2019,https://www.facebook.com/candancecompetition,https://twitter.com/thisiscandance,https://www.instagram.com/candancecompetition/,http://www.candancecompetition.ca/
The Green Living Show 2019,https://www.facebook.com/GreenLivingPage/,https://twitter.com/GreenLivingPage/,https://www.instagram.com/GreenLivingPage/,https://www.greenlivingshow.ca/
HOSA SLC 2019,https://www.facebook.com/hosacanada/,None,https://www.instagram.com/HOSACanada/,https://hosacanada.org/home/slc-2019/
PM Springfest 2019,None,https://twitter.com/springfestto,None,http://www.springfesttoronto.com/
Toronto Yoga Conference and Show 2019,https://www.facebook.com/TheYogaConference,https://twitter.com/yogaconference,https://www.instagram.com/yogaconference/,https://theyogaconference.com/toronto/
